AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Green Hills AEA,Pottawattamie County,Tri-Center Community School District,Tri-Center Middle School,6460-0209,Middle,"06, 07, 08",2015-2016,Commendable
Keystone AEA,Winneshiek County,Turkey Valley Community School District,Turkey Valley Jr-Sr High School,6509-0172,High,"07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Grant Wood AEA,Benton County,Vinton-Shellsburg Community School District,Shellsburg Elementary School,6660-0421,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
AEA 267,Buchanan County,Wapsie Valley Community School District,Fairbank Elementary School,6762-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Acceptable
Grant Wood AEA,Washington County,Washington Community School District,Washington Middle School,6768-0209,Middle,"06, 07, 08",2015-2016,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Kingsley Elementary School,6795-0499,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Commendable
Heartland AEA,Dallas County,Waukee Community School District,Eason Elementary,6822-0421,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,High-Performing
Heartland AEA,Dallas County,Waukee Community School District,Woodland Hills,6822-0442,Elementary,"KG,  01, 02, 03, 04, 05",2015-2016,Exceptional
Great Prairie AEA,Wayne County,Wayne Community School District,Wayne Elementary School,6854-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Prairie Lakes AEA,Hamilton County,Webster City Community School District,Webster City Middle School,6867-0209,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Grant Wood AEA,Cedar County,West Branch Community School District,West Branch Middle School,6930-0209,Middle,"05, 06, 07, 08",2015-2016,Acceptable
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington High School,6937-0109,High,"09, 10, 11, 12",2015-2016,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Westridge Elementary,6957-0476,Elementary,"KG,  01, 02, 03, 04, 05, 06",2015-2016,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Drexler Middle- Intermediate School,6961-0209,Middle,"05, 06, 07, 08",2015-2016,Commendable
Northwest AEA,Lyon County,West Lyon Community School District,West Lyon Junior High School,6983-0209,Middle,"07, 08",2015-2016,Acceptable
Northwest AEA,Monona County,Whiting Community School District,Whiting Senior High School,7002-0109,High,"06, 07, 08, 09, 10, 11, 12",2015-2016,Acceptable
Grant Wood AEA,Iowa County,Williamsburg Community School District,Williamsburg Jr-Sr High School,7029-0109,High,"07, 08, 09, 10, 11, 12",2015-2016,Commendable
Heartland AEA,Madison County,Winterset Community School District,Winterset Bridges School,7056-0118,High,"11, 12",2015-2016,Unable to Rate
Heartland AEA,Madison County,Winterset Community School District,Winterset Elementary School,7056-0436,Elementary,"KG,  01, 02, 03",2015-2016,Acceptable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Early Learning Center,7110-0427,Elementary,"KG,  01",2015-2016,Unable to Rate
Heartland AEA,Dallas County,Adel DeSoto Minburn Community School District,Adel Elementary School,0027-0409,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
Northwest AEA,Plymouth County,Akron Westfield Community School District,Akron Westfield Elementary School,0063-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Northwest AEA,Plymouth County,Akron Westfield Community School District,Akron Westfield Middle School,0063-0418,Middle,"06, 07, 08",2016-2017,Acceptable
Great Prairie AEA,Monroe County,Albia Community School District,Lincoln Center,0081-0427,Elementary,"03, 04, 05, 06",2016-2017,Commendable
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Senior High School,0099-0172,High,"09, 10, 11, 12",2016-2017,Commendable
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Middle School,0099-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Grant Wood AEA,Linn County,Alburnett Community School District,Alburnett Elementary School,0099-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Keystone AEA,Allamakee County,Allamakee Community School District,Waukon High School,0135-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Keystone AEA,Allamakee County,Allamakee Community School District,East Campus Elementary School,0135-0412,Elementary,"03, 04, 05",2016-2017,Acceptable
Heartland AEA,Story County,Ames Community School District,Edwards Elementary School,0225-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Polk County,Ankeny Community School District,Rock Creek Elementary,0261-0454,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Exceptional
Northwest AEA,Cherokee County,Aurelia Community School District,Aurelia Elementary School,0423-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
Northwest AEA,Ida County,Battle Creek-Ida Grove Community School District,Battle Creek-Ida Grove Senior High School,0504-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Grundy County,BCLUW Community School District,BCLUW Elementary School,0540-0407,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Grant Wood AEA,Benton County,Belle Plaine Community School District,Belle Plaine Jr/Sr  High School,0576-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Mississippi Bend AEA,Jackson County,Bellevue Community School District,Bellevue High School,0585-0109,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Commendable
Grant Wood AEA,Benton County,Benton Community School District,Benton Community Senior High School,0609-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Mississippi Bend AEA,Scott County,Bettendorf Community School District,Grant Wood Elementary School,0621-0405,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Bettendorf Community School District,Herbert Hoover Elementary School,0621-0407,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Great Prairie AEA,Des Moines County,Burlington Community School District,Edward Stone Middle School,0882-0208,Middle,"06, 07, 08, 09",2016-2017,Acceptable
Mississippi Bend AEA,Clinton County,Camanche Community School District,Camanche Elementary School,0936-0418,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Heartland AEA,Carroll County,Carroll Community School District,Adams Elementary School,0999-0427,Elementary,"03, 04",2016-2017,Acceptable
AEA 267,Black Hawk County,Cedar Falls Community School District,Cedar Falls High School,1044-0109,High,"10, 11, 12",2016-2017,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Metro High School,1053-0127,High,"09, 10, 11, 12",2016-2017,Priority
Grant Wood AEA,Linn County,Cedar Rapids Community School District,McKinley Middle School,1053-0218,Middle,"06, 07, 08",2016-2017,Needs Improvement
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Coolidge Elementary School,1053-0433,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Great Prairie AEA,Lee County,Central Lee Community School District,Central Lee High School,1079-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Northwest AEA,Crawford County,Charter Oak-Ute Community School District,Charter Oak-Ute Junior High School,1134-0209,Middle,"06, 07, 08",2016-2017,Priority
Northwest AEA,Cherokee County,Cherokee Community School District,Cherokee Middle School,1152-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
AEA 267,Butler County,Clarksville Community School District,Clarksville High School,1215-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Needs Improvement
Mississippi Bend AEA,Clinton County,Clinton Community School District,Whittier Elementary School,1278-0516,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Jasper County,Colfax-Mingo Community School District,Colfax-Mingo Elementary School,1332-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Woodrow Wilson Middle School,1476-0245,Middle,"06, 07, 08",2016-2017,Needs Improvement
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Edison Elementary School,1476-0445,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Hoover Elementary School,1476-0481,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Dallas County,Dallas Center-Grimes Community School District,Dallas Center Elementary,1576-0436,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,Walcott Intermediate,1611-0223,Middle,"06, 07, 08",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Jackson Elementary School,1611-0475,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Winneshiek County,Decorah Community School District,Decorah High School,1638-0109,High,"09, 10, 11, 12",2016-2017,Commendable
AEA 267,Bremer County,Denver Community School District,K-5 Elementary School Lincoln Street Building,1719-0309,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Heartland AEA,Polk County,Des Moines Independent Community School District,Lincoln High School,1737-0118,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Cowles Elementary School,1737-0463,Elementary,"KG,  01, 02, 03, 04, 05, 06, 07, 08",2016-2017,High-Performing
Heartland AEA,Polk County,Des Moines Independent Community School District,Edmunds Fine Arts Academy,1737-0490,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Findley Elementary School,1737-0503,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Garton Elementary,1737-0526,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Jefferson Elementary School,1737-0616,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Polk County,Des Moines Independent Community School District,Oak Park,1737-0751,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Perkins Elementary School,1737-0769,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Phillips Elementary,1737-0778,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,South Union Elementary School,1737-0855,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Walnut Street School,1737-0984,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Dubuque County,Dubuque Community School District,Dubuque Senior High School,1863-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Thomas Jefferson Middle School,1863-0209,Middle,"06, 07, 08",2016-2017,Priority
Keystone AEA,Dubuque County,Dubuque Community School District,Eleanor Roosevelt Middle School,1863-0225,Middle,"06, 07, 08",2016-2017,Commendable
Keystone AEA,Dubuque County,Dubuque Community School District,Hoover Elementary School,1863-0475,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Dubuque County,Dubuque Community School District,Irving Elementary School,1863-0481,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Dubuque County,Dubuque Community School District,Lincoln Elementary School,1863-0499,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Keystone AEA,Dubuque County,Dubuque Community School District,Prescott Elementary School,1863-0520,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Prairie Lakes AEA,Wright County,Eagle Grove Community School District,Eagle Grove Elementary,1944-0418,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
AEA 267,Marshall County,East Marshall Community School District,East Marshall Elementary School,1968-0427,Elementary,"KG,  01, 02, 03",2016-2017,Acceptable
Heartland AEA,Shelby County,Exira-Elk Horn- Kimballton Community Sch Dist,ExiraElk Horn-Kimballton Elementary,2151-0418,Elementary,"KG,  01, 02, 03",2016-2017,Unable to Rate
Great Prairie AEA,Jefferson County,Fairfield Community School District,Washington Elementary School,2169-0508,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
AEA 267,Winnebago County,Forest City Community School District,Forest City Middle School,2295-0209,Middle,"06, 07, 08",2016-2017,Commendable
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Feelhaver Elementary School,2313-0459,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Northwest AEA,Ida County,Galva-Holstein Community School District,Ridge View High School,2376-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
AEA 267,Cerro Gordo County,Garner-Hayfield-Ventura Community School District,Garner-Hayfield-Ventura Junior High,2403-0218,Middle,"07, 08",2016-2017,Needs Improvement
AEA 267,Cerro Gordo County,Garner-Hayfield-Ventura Community School District,Garner-Hayfield-Ventura Intermediate School,2403-0427,Middle,"05, 06",2016-2017,Priority
Northwest AEA,Lyon County,George-Little Rock Community School District,George Elementary School,2457-0409,Elementary,"KG,  01, 02, 03",2016-2017,Unable to Rate
Heartland AEA,Story County,Gilbert Community School District,Gilbert  High School,2466-0172,High,"09, 10, 11, 12",2016-2017,Exceptional
AEA 267,Grundy County,Gladbrook-Reinbeck Community School District,Gladbrook-Reinbeck Elementary School,2502-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Green Hills AEA,Mills County,Glenwood Community School District,Glenwood Middle School,2511-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Heartland AEA,Carroll County,Glidden-Ralston Community School District,Glidden-Ralston Elementary School,2520-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Grinnell Community Middle School,2709-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
AEA 267,Grundy County,Grundy Center Community School District,Grundy Center Middle School,2727-0209,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
Keystone AEA,Clayton County,Clayton Ridge Community School District,Iowa Virtual Academy,2763-0509,High,"KG,  01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",2016-2017,Priority
Green Hills AEA,Shelby County,Harlan Community School District,Harlan Community Middle School,2826-0209,Middle,"06, 07, 08",2016-2017,High-Performing
Green Hills AEA,Shelby County,Harlan Community School District,Harlan Primary,2826-0418,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
